Timestamp,ax,ay,az,gx,gy,gz
1764758336260,3.6018,0.131,9.5348,0.1461,0.2729,0.1228
1764758336270,3.6018,0.131,9.5348,0.1461,0.2729,0.1228
1764758336280,2.6907,0.204,8.7356,0.2666,0.2431,0.0958
1764758336290,2.6907,0.204,8.7356,0.2666,0.2431,0.0958
1764758336300,3.0437,-0.1902,8.6465,0.326,-0.0505,0.2359
1764758336310,3.0437,-0.1902,8.6465,0.326,-0.0505,0.2359
1764758336320,3.5719,0.0401,8.8522,0.3412,-0.2802,0.3244
1764758336330,3.5719,0.0401,8.8522,0.3412,-0.2802,0.3244
1764758336340,4.0331,0.1376,9.082,0.3305,-0.5496,0.3276
1764758336350,4.0331,0.1376,9.082,0.3305,-0.5496,0.3276
1764758336360,4.0331,0.1376,9.082,0.326,-0.9117,0.2726
1764758336370,4.6552,0.2327,9.7896,0.326,-0.9117,0.2726
1764758336380,4.6552,0.2327,9.7896,0.5316,-1.5695,0.117
1764758336390,6.0239,0.1741,11.8301,0.5316,-1.5695,0.117
1764758336400,6.0239,0.1741,11.8301,0.5316,-1.5695,0.117
1764758336410,7.3998,0.3541,14.5645,1.4154,-2.7683,-0.2744
1764758336420,7.3998,0.3541,14.5645,1.4154,-2.7683,-0.2744
1764758336430,7.8838,0.1783,14.8481,2.967,-4.1989,-0.7692
1764758336440,7.8838,0.1783,14.8481,2.967,-4.1989,-0.7692
1764758336450,8.7541,0.9033,12.5013,4.3692,-5.6381,-1.1087
1764758336460,8.7541,0.9033,12.5013,4.3692,-5.6381,-1.1087
1764758336470,10.9352,2.6716,10.9962,5.4175,-7.152,-1.5052
1764758336480,10.9352,2.6716,10.9962,5.4175,-7.152,-1.5052
1764758336490,10.9352,2.6716,10.9962,6.1131,-8.1189,-2.1415
1764758336500,11.9725,4.1336,8.7386,6.1131,-8.1189,-2.1415
1764758336510,11.9725,4.1336,8.7386,6.1131,-8.1189,-2.1415
1764758336520,11.0806,4.1599,6.8034,6.3512,-8.3748,-2.7448
1764758336530,11.0806,4.1599,6.8034,6.3512,-8.3748,-2.7448
1764758336540,10.0899,4.5117,3.7627,6.1729,-7.7555,-3.0726
1764758336550,10.0899,4.5117,3.7627,6.1729,-7.7555,-3.0726
1764758336560,8.5029,4.5332,1.0911,5.8009,-7.0643,-3.3434
1764758336570,8.5029,4.5332,1.0911,5.8009,-7.0643,-3.3434
1764758336580,5.9713,3.9464,-0.7448,5.5184,-6.7174,-3.5412
1764758336590,5.9713,3.9464,-0.7448,5.5184,-6.7174,-3.5412
1764758336600,5.9713,3.9464,-0.7448,5.2945,-6.4891,-3.5479
1764758336610,2.726,3.0066,-2.0614,5.2945,-6.4891,-3.5479
1764758336620,2.726,3.0066,-2.0614,4.8296,-5.8402,-3.2726
1764758336630,-0.8363,1.8006,-3.7998,4.8296,-5.8402,-3.2726
1764758336640,-0.8363,1.8006,-3.7998,3.7457,-4.5209,-2.6238
1764758336650,-3.5844,1.0499,-6.0144,3.7457,-4.5209,-2.6238
1764758336660,-3.5844,1.0499,-6.0144,2.0551,-2.6815,-1.7323
1764758336670,-4.3023,0.9296,-7.7276,2.0551,-2.6815,-1.7323
1764758336680,-4.3023,0.9296,-7.7276,2.0551,-2.6815,-1.7323
1764758336690,-3.6102,1.2359,-8.2457,0.2046,-0.8418,-0.9261
1764758336700,-3.6102,1.2359,-8.2457,0.2046,-0.8418,-0.9261
1764758336710,-2.9994,1.2508,-7.3765,-1.3114,0.4986,-0.412
1764758336720,-2.9994,1.2508,-7.3765,-1.3114,0.4986,-0.412
1764758336730,-3.9511,0.7047,-5.1799,-2.3292,1.3521,-0.0924
1764758336740,-3.9511,0.7047,-5.1799,-2.3292,1.3521,-0.0924
1764758336750,-3.9511,0.7047,-5.1799,-2.8537,2.173,0.4856
1764758336760,-5.1673,0.4564,-3.4869,-2.8537,2.173,0.4856
1764758336770,-5.1673,0.4564,-3.4869,-3.4091,3.4861,1.3905
1764758336780,-5.4108,0.5994,-4.2227,-3.4091,3.4861,1.3905
1764758336790,-5.4108,0.5994,-4.2227,-5.0757,5.8681,2.5125
1764758336800,-5.3133,0.1932,-5.068,-5.0757,5.8681,2.5125
1764758336810,-5.3133,0.1932,-5.068,-5.0757,5.8681,2.5125
1764758336820,-3.0915,-0.5276,-5.4299,-7.8221,9.0979,3.7463
1764758336830,-3.0915,-0.5276,-5.4299,-7.8221,9.0979,3.7463
1764758336840,-1.212,-2.9402,-4.1139,-11.1993,12.1686,4.6096
1764758336850,-1.212,-2.9402,-4.1139,-11.1993,12.1686,4.6096
