Timestamp,ax,ay,az,gx,gy,gz
1764758666230,3.0849,0.8728,9.5934,-0.8671,0.9598,-0.1871
1764758666240,3.0849,0.8728,9.5934,-0.8671,0.9598,-0.1871
1764758666250,2.6118,0.8124,10.0642,-1.031,1.2831,-0.1694
1764758666260,2.6118,0.8124,10.0642,-1.031,1.2831,-0.1694
1764758666270,2.6118,0.8124,10.0642,-1.2712,2.0604,-0.06
1764758666280,2.0566,0.5234,9.466,-1.2712,2.0604,-0.06
1764758666290,1.4961,0.2213,7.9998,-1.7407,2.9386,0.0974
1764758666300,1.4961,0.2213,7.9998,-1.7407,2.9386,0.0974
1764758666310,1.4961,0.2213,7.9998,-2.04,2.9337,0.0828
1764758666320,1.4369,0.0879,7.3424,-2.04,2.9337,0.0828
1764758666330,1.4369,0.0879,7.3424,-1.4988,0.9701,-0.4084
1764758666340,2.6399,-0.935,6.2584,-1.4988,0.9701,-0.4084
1764758666350,2.6399,-0.935,6.2584,-1.4988,0.9701,-0.4084
1764758666360,8.1739,-0.1041,11.9725,1.1457,-6.2884,-1.9905
1764758666370,8.1739,-0.1041,11.9725,1.1457,-6.2884,-1.9905
1764758666380,13.9472,1.5218,26.0626,7.5746,-17.2368,-4.8994
1764758666390,13.9472,1.5218,26.0626,7.5746,-17.2368,-4.8994
1764758666400,13.8371,1.7037,25.8933,13.8663,-22.5985,-7.2249
1764758666410,13.8371,1.7037,25.8933,13.8663,-22.5985,-7.2249
1764758666420,13.8371,1.7037,25.8933,14.9705,-20.1924,-7.3432
1764758666430,8.6429,0.6556,13.2718,14.9705,-20.1924,-7.3432
1764758666440,8.6429,0.6556,13.2718,10.299,-14.1351,-6.0783
1764758666450,5.5926,3.1507,4.8652,10.299,-14.1351,-6.0783
1764758666460,5.5926,3.1507,4.8652,5.0809,-5.129,-4.5016
1764758666470,-8.3976,-3.2303,5.4174,5.0809,-5.129,-4.5016
1764758666480,-8.3976,-3.2303,5.4174,-0.6892,7.156,-0.1907
1764758666490,-7.3448,-0.9057,-7.0959,-0.6892,7.156,-0.1907
1764758666500,-7.3448,-0.9057,-7.0959,-0.6892,7.156,-0.1907
1764758666510,3.3864,4.4201,-10.4267,-4.942,11.555,2.7341
1764758666520,3.3864,4.4201,-10.4267,-4.942,11.555,2.7341
1764758666530,7.9525,6.1699,-1.1498,-6.6929,10.3036,3.0149
1764758666540,7.9525,6.1699,-1.1498,-6.6929,10.3036,3.0149
1764758666550,8.4879,6.3966,4.4907,-6.2673,9.5796,2.4888
1764758666560,8.4879,6.3966,4.4907,-6.2673,9.5796,2.4888
1764758666570,8.4879,6.3966,4.4907,-5.0955,9.1249,1.9772
1764758666580,7.8257,6.2261,4.8395,-5.0955,9.1249,1.9772
1764758666590,7.8257,6.2261,4.8395,-4.1212,8.0368,1.544
1764758666600,7.6505,5.7942,5.4592,-4.1212,8.0368,1.544
1764758666610,7.6505,5.7942,5.4592,-3.2837,6.5491,1.0892
1764758666620,7.0098,5.3934,6.4211,-3.2837,6.5491,1.0892
1764758666630,7.0098,5.3934,6.4211,-3.2837,6.5491,1.0892
1764758666640,6.0174,4.191,7.0493,-2.5772,5.0592,0.5165
1764758666650,6.0174,4.191,7.0493,-2.5772,5.0592,0.5165
1764758666660,4.7856,3.7436,7.5918,-2.0717,3.7583,0.0921
1764758666670,4.7856,3.7436,7.5918,-2.0717,3.7583,0.0921
1764758666680,4.1761,2.9306,8.6524,-1.7794,2.5811,-0.078
1764758666690,4.1761,2.9306,8.6524,-1.7794,2.5811,-0.078
1764758666700,4.1761,2.9306,8.6524,-1.7794,2.5811,-0.078
