Timestamp,ax,ay,az,gx,gy,gz
1764758106400,-0.4606,6.4415,7.5535,-0.0101,-0.1295,-0.1487
1764758106410,-0.4606,6.4415,7.5535,-0.0101,-0.1295,-0.1487
1764758106420,-0.402,6.524,7.681,0.1035,-0.2795,-0.0383
1764758106430,-0.402,6.524,7.681,0.1035,-0.2795,-0.0383
1764758106440,-0.402,6.524,7.681,0.2729,-0.4235,0.0545
1764758106450,0.0275,6.7729,7.7258,0.2729,-0.4235,0.0545
1764758106460,0.0275,6.7729,7.7258,0.4186,-0.4659,0.0623
1764758106470,0.3081,7.0319,7.4752,0.4186,-0.4659,0.0623
1764758106480,0.3081,7.0319,7.4752,0.4186,-0.4659,0.0623
1764758106490,0.3111,7.142,6.9523,0.4577,-0.4363,0.0296
1764758106500,0.3111,7.142,6.9523,0.4577,-0.4363,0.0296
1764758106510,0.4056,7.4004,6.5336,0.4052,-0.4241,0.009
1764758106520,0.4056,7.4004,6.5336,0.4052,-0.4241,0.009
1764758106530,0.3206,7.4351,6.3476,0.312,-0.4308,-0.0302
1764758106540,0.3206,7.4351,6.3476,0.312,-0.4308,-0.0302
1764758106550,0.3206,7.4351,6.3476,0.2489,-0.4513,-0.0571
1764758106560,0.0802,7.5422,6.6251,0.2489,-0.4513,-0.0571
1764758106570,-0.5037,7.4692,6.8973,0.2304,-0.4041,-0.0107
1764758106580,-0.5037,7.4692,6.8973,0.2304,-0.4041,-0.0107
1764758106590,-0.5037,7.4692,6.8973,0.0809,-0.0283,0.1361
1764758106600,-0.1663,7.4034,6.8782,0.0809,-0.0283,0.1361
1764758106610,-0.1663,7.4034,6.8782,-0.4879,0.7879,0.2039
1764758106620,1.5159,7.8132,5.7727,-0.4879,0.7879,0.2039
1764758106630,1.5159,7.8132,5.7727,-0.4879,0.7879,0.2039
1764758106640,3.6371,7.3508,8.8134,-1.1073,0.7871,-0.1883
1764758106650,3.6371,7.3508,8.8134,-1.1073,0.7871,-0.1883
1764758106660,1.6128,8.1464,8.2804,0.3271,-0.5388,-0.7934
1764758106670,1.6128,8.1464,8.2804,0.3271,-0.5388,-0.7934
1764758106680,-2.3575,6.5504,5.9665,1.124,-1.3827,-1.0785
1764758106690,-2.3575,6.5504,5.9665,1.124,-1.3827,-1.0785
1764758106700,-2.3575,6.5504,5.9665,0.3662,-0.861,-0.2448
1764758106710,-2.942,5.8241,7.0253,0.3662,-0.861,-0.2448
1764758106720,-2.942,5.8241,7.0253,0.3662,-0.861,-0.2448
