Timestamp,ax,ay,az,gx,gy,gz
1764757842270,-0.0401,5.8229,7.617,-0.2379,0.3247,-0.2892
1764757842280,-0.5025,5.6243,7.6618,-0.2379,0.3247,-0.2892
1764757842290,-0.5025,5.6243,7.6618,-0.2196,0.1907,-0.1874
1764757842300,-0.396,5.5262,7.7815,-0.2196,0.1907,-0.1874
1764757842310,-0.396,5.5262,7.7815,-0.1626,0.1495,-0.126
1764757842320,-0.0814,5.8804,7.4704,-0.1626,0.1495,-0.126
1764757842330,-0.0814,5.8804,7.4704,-0.1648,0.0373,-0.1875
1764757842340,-0.1149,5.9689,7.3472,-0.1648,0.0373,-0.1875
1764757842350,-0.1149,5.9689,7.3472,-0.1648,0.0373,-0.1875
1764757842360,-0.5091,5.5591,8.3252,-0.2069,-0.2127,-0.2706
1764757842370,-0.5091,5.5591,8.3252,-0.2069,-0.2127,-0.2706
1764757842380,-0.9511,5.0824,10.0104,-0.0881,-0.5395,-0.3085
1764757842390,-0.9511,5.0824,10.0104,-0.0881,-0.5395,-0.3085
1764757842400,-0.9511,5.0824,10.0104,0.4229,-0.5834,-0.2143
1764757842410,-1.453,4.3531,9.8632,0.4229,-0.5834,-0.2143
1764757842420,-1.453,4.3531,9.8632,0.7307,0.3122,0.1907
1764757842430,2.9611,6.1268,7.3519,0.7307,0.3122,0.1907
1764757842440,2.9611,6.1268,7.3519,0.0455,0.635,-0.1171
1764757842450,-1.1151,7.0792,6.0748,0.0455,0.635,-0.1171
1764757842460,-1.1151,7.0792,6.0748,-0.1952,-0.6141,-0.5423
1764757842470,-2.0369,4.8766,10.2616,-0.1952,-0.6141,-0.5423
1764757842480,-2.0369,4.8766,10.2616,0.1712,-0.2092,-0.1953
